id,category,subcategory,topic,subtopic,collection_method,collection_frequency,collection_source,specificity,data_format,auto_or_manual,trigger,datetime_last_collection,explanation,comments,active
1,Cognitive Abilities,Perception & Motor Skills,Processing Speed,Reaction Time,,,,,,,,,,,
2,Cognitive Abilities,Perception & Motor Skills,Processing Speed,Visual Processing Speed,,,,,,,,,,,
3,Cognitive Abilities,Perception & Motor Skills,Processing Speed,Auditory Processing Speed,,,,,,,,,,,
4,Cognitive Abilities,Perception & Motor Skills,Processing Speed,Motor Processing Speed,,,,,,,,,,,
5,Cognitive Abilities,Perception & Motor Skills,Spatial Awareness,Spatial Orientation,,,,,,,,,,,
6,Cognitive Abilities,Perception & Motor Skills,Spatial Awareness,Spatial Visualization,,,,,,,,,,,
7,Cognitive Abilities,Perception & Motor Skills,Spatial Awareness,Spatial Perception,,,,,,,,,,,
8,Cognitive Abilities,Perception & Motor Skills,Visual Perception,Visual Discrimination,,,,,,,,,,,
9,Cognitive Abilities,Perception & Motor Skills,Visual Perception,Visual Closure,,,,,,,,,,,
10,Cognitive Abilities,Perception & Motor Skills,Visual Perception,Visual Figure-Ground,,,,,,,,,,,
11,Cognitive Abilities,Perception & Motor Skills,Visual Perception,Visual Memory,,,,,,,,,,,
12,Cognitive Abilities,Perception & Motor Skills,Visual Perception,Visual Sequential Memory,,,,,,,,,,,
13,Cognitive Abilities,Perception & Motor Skills,Visual Perception,Visual Form Constancy,,,,,,,,,,,
14,Cognitive Abilities,Perception & Motor Skills,Visual Perception,Visual Spatial Relationships,,,,,,,,,,,
15,Cognitive Abilities,Perception & Motor Skills,Auditory Perception,Auditory Discrimination,,,,,,,,,,,
16,Cognitive Abilities,Perception & Motor Skills,Auditory Perception,Auditory Figure-Ground,,,,,,,,,,,
17,Cognitive Abilities,Perception & Motor Skills,Auditory Perception,Auditory Memory,,,,,,,,,,,
18,Cognitive Abilities,Perception & Motor Skills,Auditory Perception,Auditory Sequential Memory,,,,,,,,,,,
19,Cognitive Abilities,Perception & Motor Skills,Auditory Perception,Auditory Localization,,,,,,,,,,,
20,Cognitive Abilities,Perception & Motor Skills,Auditory Perception,Auditory Closure,,,,,,,,,,,
21,Cognitive Abilities,Perception & Motor Skills,Motor Skills,Fine Motor Skills,,,,,,,,,,,
22,Cognitive Abilities,Perception & Motor Skills,Motor Skills,Gross Motor Skills,,,,,,,,,,,
23,Cognitive Abilities,Perception & Motor Skills,Perceptual-Motor Integration,Hand-Eye Coordination,,,,,,,,,,,
24,Cognitive Abilities,Perception & Motor Skills,Perceptual-Motor Integration,Bilateral Coordination,,,,,,,,,,,
25,Cognitive Abilities,Perception & Motor Skills,Perceptual-Motor Integration,Crossing the Midline,,,,,,,,,,,
26,Cognitive Abilities,Perception & Motor Skills,Perceptual-Motor Integration,Motor Planning,,,,,,,,,,,
27,Cognitive Abilities,Memory & Attention,Working Memory,,,,,,,,,,,,
28,Cognitive Abilities,Memory & Attention,Recognition,,,,,,,,,,,,
29,Cognitive Abilities,Memory & Attention,Spatial Memory,,,,,,,,,,,,
30,Cognitive Abilities,Memory & Attention,Temporal Awareness,,,,,,,,,,,,
31,Cognitive Abilities,Memory & Attention,Selective Auditory Attention,,,,,,,,,,The ability to focus on a specific aspect of an experience while ignoring others.,,
32,Cognitive Abilities,Memory & Attention,Selective Visual Attention,,,,,,,,,,The ability to focus on a specific aspect of an experience while ignoring others.,,
33,Cognitive Abilities,Memory & Attention,Sustained Auditory Attention,,,,,,,,,,This is the ability to focus on an activity or stimulus over a long period of time.,,
34,Cognitive Abilities,Memory & Attention,Sustained Visual Attention,,,,,,,,,,This is the ability to focus on an activity or stimulus over a long period of time.,,
35,Cognitive Abilities,Reasoning & Problem-Solving,Executive Functioning,,,,,,,,,,,,
36,Cognitive Abilities,Reasoning & Problem-Solving,Logical Reasoning,,,,,,,,,,,,
37,Cognitive Abilities,Reasoning & Problem-Solving,Abstract Thinking,,,,,,,,,,,,
38,Cognitive Abilities,Reasoning & Problem-Solving,Flexibility,,,,,,,,,,,,
39,Cognitive Abilities,Reasoning & Problem-Solving,Decision Making,,,,,,,,,,,,
40,Cognitive Abilities,Reasoning & Problem-Solving,Estimation,,,,,,,,,,,,
41,Cognitive Abilities,Reasoning & Problem-Solving,Problem Sensitivity,,,,,,,,,,,,
42,Cognitive Abilities,Language & Communication,Language Skills,,,,,,,,,,,,
43,Cognitive Abilities,Language & Communication,Empathy,,,,,,,,,,,,
