Timestamp,Event
0:00:00.100000,at
0:00:00.150000,away
0:00:00.200000,away
0:00:00.250000,at
0:00:00.300000,away
0:00:00.350000,at
0:00:00.400000,at
0:00:00.450000,at
0:00:00.500000,at
0:00:00.550000,at
0:00:00.750000,away
0:00:00.800000,at
0:00:00.900000,at
0:00:00.950000,at
0:00:01,at
0:00:01.050000,away
0:00:01.100000,at
0:00:01.150000,at
0:00:01.200000,at
0:00:01.250000,at
0:00:01.300000,at
0:00:01.350000,at
0:00:01.400000,at
0:00:01.450000,at
0:00:01.500000,at
0:00:01.550000,at
0:00:01.600000,at
0:00:01.650000,at
0:00:01.700000,away
0:00:01.750000,away
0:00:01.800000,away
0:00:01.850000,away
0:00:01.900000,away
0:00:01.950000,at
0:00:02,away
